dataset	tool	db	samples	run_elapsed_seconds	resource_max_rss_gb	per_read_truth_mapped_rate_species	per_read_pred_mapped_rate_species	per_read_precision_species	per_read_recall_species	per_read_f1_species	per_read_truth_mapped_rate_genus	per_read_pred_mapped_rate_genus	per_read_precision_genus	per_read_recall_genus	per_read_f1_genus	status	paper_scope	tool_version
cami-strain-madness-long	centrifuger	cami_refseq	100	13575.142525196075	144.22858047485352	0.9086484896930747	0.4942448440964627	0.4933034379103728	0.41479424830193096	0.45065510422400407	0.9175333406435099	0.6389368899404874	0.6934883226730738	0.5823714643811543	0.6330912128499944	complete	main	1.1.0-r291
cami-strain-madness-long	chimera	cami_refseq	100	10464.397116422653	96.30700302124023	0.9086484896930747	0.8283196334049375	0.9263044541831306	0.7722689408127295	0.8423023247739769	0.9175333406435099	0.8283127271690358	0.9792546820052824	0.8133324947789742	0.8886146948436012	complete	main	1.7
cami-strain-madness-long	kraken2	cami_refseq	100	4312.531237602234	126.77235794067383	0.9086484896930747	0.4007108483799658	0.3821873486556296	0.2681511921404727	0.3151712123275342	0.9175333406435099	0.5061991220580422	0.5531960712676409	0.38747306510558266	0.4557363881733511	complete	main	2.1.3
cami-strain-madness-short	centrifuger	cami_refseq	100	46035.59794330597	141.27302169799805	0.9217625338557256	0.8522833558699282	0.825674537282548	0.8242801558627918	0.8249767573748114	0.9297261328148424	0.9010001489575432	0.8937893678748969	0.8919296302934885	0.8928585306720642	complete	main	1.1.0-r291
cami-strain-madness-short	chimera	cami_refseq	100	69081.3006207943	72.89142227172852	0.9217625338557256	0.9939124398291882	0.9084678361837732	0.9055524805082857	0.9070078156769213	0.9297261328148424	0.9921321749192028	0.92806288224895	0.9236302780225005	0.9258412747264249	complete	main	1.7
cami-strain-madness-short	kraken2	cami_refseq	100	3788.487527370453	130.3828887939453	0.9217625338557256	0.6146438736347947	0.5299345693798819	0.5290002418761831	0.5294669934365195	0.9297261328148424	0.78799333702711	0.7549081611509652	0.7532730716307101	0.7540897300524848	complete	main	2.1.3
cami2-marine-long	centrifuger	cami_refseq	10	1327.8073723316193	142.29428482055664	0.8261135680715002	0.9324551968564604	0.868871860692612	0.862184820028263	0.865515424401837	0.9511765159103167	0.9676061329840512	0.9613316929306757	0.9575042202227241	0.9594141392760048	complete	main	1.1.0-r291
cami2-marine-long	chimera	cami_refseq	10	185.42593836784363	73.63822937011719	0.8261135680715002	0.9785807843439402	0.9017498144136228	0.8882087585598679	0.8949280673701682	0.9511765159103167	0.9617622312967101	0.9642310405527462	0.9477508885958403	0.9559199399991176	complete	main	1.7
cami2-marine-long	kraken2	cami_refseq	10	243.95430397987366	123.35523223876953	0.8261135680715002	0.9396446567532167	0.867413792195937	0.8607030246234703	0.8640453785031101	0.9511765159103167	0.9760690345943447	0.97207185295403	0.9686268156677996	0.9703462765765803	complete	main	2.1.3
cami2-marine-short	centrifuger	cami_refseq	10	1753.2438180446625	141.59295654296875	0.8295014012793739	0.8393564044312626	0.829513295063655	0.8191590690249282	0.824303668004754	0.9598359168224797	0.9475137293923437	0.9557360704043156	0.9386967596146517	0.9471397857124229	complete	main	1.1.0-r291
cami2-marine-short	chimera	cami_refseq	10	435.18734431266785	73.50167846679688	0.8295014012793739	0.9628137497108531	0.9092693714919804	0.8924656883549204	0.9007891710755644	0.9598359168224797	0.950127667690419	0.9644518907604706	0.9339733456295454	0.948967957068646	complete	main	1.7
cami2-marine-short	kraken2	cami_refseq	10	259.5108666419983	123.4649887084961	0.8295014012793739	0.8337778134171607	0.81757596804672	0.8069281359662256	0.8122171563334688	0.9598359168224797	0.9532087821814259	0.9638744686290229	0.9467304924998703	0.9552255635869719	complete	main	2.1.3
prjna637878-supported19-single-read	centrifuger	cami_refseq	19	30255.75328373909	141.351318359375	1.0	0.5982784558362351	0.4659969996265831	0.43532980019092954	0.44839759905328885	0.9924525824694033	0.8230766964941711	0.7318044738354119	0.6811978661385684	0.7024253560558859	complete	main	1.1.0-r291
prjna637878-supported19-single-read	chimera	cami_refseq	19	52948.60074543953	81.63777160644531	1.0	0.8084634174318341	0.7385254860573205	0.6144169029237847	0.6579889168548537	0.9924525824694033	0.7957221075870002	0.8187166009627692	0.6797110745963936	0.7275859425972504	complete	main	1.7
prjna637878-supported19-single-read	kraken2	cami_refseq	19	6588.018495321274	123.82853317260742	1.0	0.5768791087676707	0.4517945561915695	0.4198928901109131	0.43351959969386533	0.9924525824694033	0.8111108498370764	0.7234968932001236	0.6707236814509346	0.6929358966270223	complete	main	2.1.3
